#{"t_start": 1773585731.23504, "env_id": "None"}
r,l,t
73.094344,137,246.725049
28.624931,112,247.255584
60.718907,140,249.409026
10.665637,108,249.919617
77.801755,136,250.581815
38.392795,127,251.171525
66.357092,130,251.772207
9.690618,72,252.079964
59.182104,145,252.777071
73.539223,129,253.353244
33.581986,116,253.905632
56.08467,137,256.061316
58.975941,154,256.745385
52.469164,140,257.387411
62.790288,141,258.044034
55.392623,149,258.740445
51.406378,134,259.359729
64.827389,135,259.965477
61.389478,133,262.105646
59.985113,135,262.737982
10.842782,78,263.106756
64.959708,140,263.742253
59.628663,140,264.406713
65.066371,142,265.048456
64.756946,136,265.692798
14.012417,88,266.100979
63.735563,130,257.800097
52.265212,134,258.43504
68.491257,131,259.033876
62.480656,132,259.635562
54.352844,137,261.790051
64.691109,128,262.382049
74.081293,142,263.050223
65.349333,141,263.682049
73.371885,130,264.311012
30.075197,105,264.783589
72.824772,136,265.437047
59.30372,138,266.073214
,257.491321
10.894491,82,257.86765
46.49499,103,258.340295
50.523252,111,258.861961
47.720713,110,259.373484
46.705025,112,259.881166
48.915758,107,261.892977
56.881023,108,262.392062
57.937932,118,262.950305
16.938367,97,263.405064
43.234283,104,263.873514
50.949424,117,264.42686
49.971405,113,264.948914
53.253496,115,265.493933
9.518053,82,265.871814
55.154737,109,266.378277
7943,125,263.083564
58.702667,135,263.699731
32.663329,132,264.331023
58.566124,140,264.971514
23.079901,117,265.526934
57.757349,130,266.131083
302
55.398871,137,265.819301
.0157,126,265.028684
-3.436494,55,265.285367
54.755088,129,265.89363
016,46,263.950241
-5.836897,48,264.170506
56.670338,123,264.754073
52.35167,129,265.352356
22.953529,107,265.862068
9.30192252.335716,113,266.189404
815816
54.294907,122,263.361278
28.012375,123,263.933065
49.303252,116,264.477276
17.937275,93,264.914561
51.257833,121,265.488321
45.018512,120,266.041994
6.912205,78,264.096128
49.770771,111,264.604271
45.18767,117,265.147245
10.928105,96,265.597191
47.944443,120,266.158984
.588421
47.457122,126,232.153098
41.640794,130,232.748949
23.000465,126,233.316547
34.32876,129,233.897456
44.748177,125,234.481209
47.075286,110,236.517756
45.468838,123,237.082784
-0.469998,63,237.375415
46.957769,109,237.866846
54.199208,108,238.360914
56.444414,111,238.871302
43.518921,121,239.41782
53.52104,116,239.933554
43.483891,134,240.557534
39.773564,128,242.688668
16.318032,93,243.130394
49.361321,122,243.709646
20.358239,116,244.232423
55.124366,112,244.762073
42.48371,109,245.286145
49.431985,110,245.813994
44.735184,114,246.356148
21.265698,110,246.849316
48.993778,114,247.395489
26.713983,112,249.420876
47.626054,121,249.994448
-0.848474,67,250.311582
47.792264,124,250.885392
57.698636,113,251.401787
52.795588,111,251.913379
47.52824,108,252.420462
44.918217,114,252.943988
54.88972,111,253.462521
47.523809,114,255.526571
50.242949,127,256.09657
52.235392,114,256.620515
55.523691,112,257.117162
52.270017,116,257.668178
53.221077,113,258.186911
49.890764,116,258.734412
44.002116,124,259.293964
45.835579,112,259.80941
44.380829,114,261.861779
50.694593,121,262.414579
50.456444,110,262.940172
40.257827,115,263.438029
49.940364,114,263.974634
37.028928,127,264.568124
49.871772,116,265.104677
57.330904,110,265.639086
54.106075,108,266.133688
,112,259.990572
44.474356,111,262.036821
42.902065,109,262.551966
41.477237,116,263.089356
49.387258,115,263.607749
46.528928,112,264.127438
49.511825,119,264.693649
55.833671,111,265.191351
47.228538,106,265.696181
49.032305,122,266.271649
