#{"t_start": 1775662051.6243565, "env_id": "None"}
r,l,t--100.872092,1000,8.7905---6-205.453029,1000,16.42-1-98.898393,1000,23.661689--29--279.616691,1000,31.08---164-168.427708,1000,38.339--10-226.52051,1000,46.070424-157.873525,1000,54.244056
-1-227.032247,1000,62.68610-179.914023,894,68.209281
--63.398636,1000,69.826598-207.164224,1000,76.752338
-168.183139,1000,83.94574
-1-124.031319,1000,90.3309-368-270.163147,1000,97.9115-103-173.26212,890,100.431176
-197.492663,1000,107.310174
-139.594578,564,112.510081--69.882568,261,113.716748
-127.32261,954,120.680305
-53.673156,393,122.482872
-136.195572,616,128.032467
-82.629436,355,129.685811
-60.50904,222,133.508089
-40.527805,134,134.160093
-58.499355,266,135.423598
-41-60.536224,400,136.97995-59-57.070952,178,140.61209-70.251789,266,141.715882
-50.786873,172,142.588284
-78.096287,527,145.291439
-35.377344,248,149.246004
-31.067692,129,149.919216
-31.197242,233,151.177866
-32.4044,102,151.727207
-34.36167,164,152.605165
-24.127619,85,153.028827
-25.438011,86,153.515402
-27.336177,118,156.818885
-26.512235,81,157.291675
-22.183692,72,157.693385
-19.157232,69,158.116776
-28.304561,128,158.867308
-20.684518,110,159.50731
-22.963379,97,160.041619
-17.735-30.538138,109,160.-27.8577-24.674253,87,161.2-26.627909,94,161.469428
-24.94525,104,162.058261
-22.295466,112,165.375777
-11.966925,40,165.622171
-19.52883,57,165.956945
-14.47067,56,166.300756
-14.772413,83,166.827787
-15.81-26.674617,102,167.3-12.322-24.349365,99,167.9-13.29-14.943648,54,168.30-21.84-23.837949,71,168.73-25.15-12.517542,139,169.555232
-20.097159,81,170.036781
-13.266997,38,170.256186
-20.716734,79,170.7-40.799-28.176779,103,174.032342
-26.843765,92,174.57477
-44.043988,195,175.629473
-13.634986,60,175.977131
-18.17257,87,176.475724
-14.220428,71,176.861285
-15.078307,85,177.34291
-10.978101,31,177.552014
-21.74041,106,178.150205
-21.305049,88,178.636037
