#{"t_start": 1777144035.263333, "env_id": "None"}
r,l,t
104.941559,182,252.333521
98.473677,166,253.248748
95.147608,190,254.353038
101.984214,179,255.305383
90.722212,176,256.273874
98.957687,185,260.577682
85.704702,159,261.498312
42.231652,115,262.246691
52.576051,155,263.249853
41.951283,121,263.954636
95.106885,198,265.082517
45.358572,123,265.800539
95.243681,188,270.496812
95.445801,172,271.560343
88.661614,166,272.686137
99.768753,174,273.83126
48.624875,145,274.749146
38.822059,124,275.562862
44.278953,114,280.202742
71.32106,162,281.238642
100.298391,192,282.511542
94.829482,169,283.657685
93.084663,172,284.781096
63.893761,162,285.878005
41.740114,139,290.73242
46.850924,121,291.516071
93.665472,171,292.65379
90.582356,178,293.852048
99.101352,171,294.996818
27.125012,126,295.863367
99.351381,170,297.013662
99.96596,187,301.930244
102.780084,162,302.858258
92.584369,187,303.929193
89.194791,188,304.97234
95.19603,180,305.972278
43.384321,128,306.684346
102.068326,193,311.67556
91.850054,165,312.534356
101.061174,172,313.519703
43.153503,156,314.42372
97.926198,181,315.388424
103.512269,166,316.266405
83.013521,159,320.24109
104.827027,174,321.203874
91.686974,166,322.086819
77.732858,197,323.146265
94.436045,186,324.191281
87.190358,191,328.560076
87.579863,166,329.450656
100.526414,170,330.3542
25.060189,102,330.90013
100.55983,174,331.789348
18.725296,106,332.37401
95.202592,175,333.288907
99.260581,176,337.605342
90.210898,206,338.775563
20.568508,97,339.309984
88.115333,182,340.3299
87.976641,160,341.214614
17.587802,91,341.7217
22.511456,94,342.24008
19.69764,94,342.772397
88.369307,188,347.443542
11.788183,114,348.066562
14.912657,102,348.643104
23.121.821082,218,349.754114
124.637142,268,351.213134
52.394046,146,352.012654
56.653369,160,356.31704
121.17912,227,357.552253
139.791531,232,358.849774
112.817926,202,359.974998
147.837023,231,361.253467
116.44817,214,365.443386
129.410423,210,366.541356
135.43441,225,367.765185
125.73114,226,369.005124
127.257938,211,373.610852
112.487786,216,374.837563
117.759706,212,376.034638
125.512249,196,377.141186
135.301719,211,378.333264
43.271956,129,379.048145
118.932175,228,383.632707
134.562169,240,384.921257
124.572585,224,386.135135
63.278996,154,386.958047
,198,384.310782
120.241798,208,385.451515
50.730469,131,386.15219
125.482716,217,387.269085
63.944421,262,385.295165
132.610006,266,386.705039
163.575185,254,388.060136
.426429
104.236911,178,387.371634
64,165,386.930402
91.029772,171,387.833913

144.309478,260,387.007398
92.834213,162,387.846428
80317,148,385.839511
93.210124,174,386.783074
75.86505,146,387.555063
3
92.61628,141,384.961037
84.760012,154,385.780235
90.866162,143,386.549394
92.984453,149,387.34593
56387
79.516895,134,375.123006
87.450528,125,375.82284
79.114594,138,376.598982
75.38665,136,377.370059
67.599534,127,378.067951
72.495394,133,378.824739
82.513562,135,382.913359
77.807542,151,383.739661
75.712749,143,384.488629
75.702115,139,385.261986
81.095163,129,385.935307
67.058788,131,386.643056
72.738608,143,387.407521
3.037184.875.323176,141,383.811482.580.046694,146,384.576773.76.142717,128,385.2827876.70.203882,141,386.0340782.76.164,123,386.696509
68.669427,139,387.427667
.631033,124,384.633392
76.155522,118,385.278921
80.596737,127,385.949875
78.214421,139,386.693746
65.888069,126,387.353926
