#{"t_start": 1777203978.8763175, "env_id": "None"}
r,l,t
111.290025,1000,6.89296116.399958,1000,15.28891131225.974199,1000,22.69832832.291942,1000,30.292538.746.007042,1000,37.736048.654752,1000,43.829629
55.116222,922,51.224524
23.538399,248,52.44895
64.982273,764,59.807905
14.975285,159,60.663536
54.455268,624,63.803838
8.375015,115,67.631842
2.881704,66,67.938443
106.590194,738,71.334508
126.448247,862,79.442394
128.145763,639,85.745693
129.496776,510,88.115519
37.921324,152,88.841517
128.834376,457,94.427198
127.947272,477,96.743035
125.902055,425,101.722654
74.263983,219,102.741007
101.735727,277,104.081307
69.804586,209,105.07038
53.334404,195,109.436391
47.604077,194,110.482181
25.878472,91,110.990391
127.966526,308,112.580752
57.636746,189,113.57204412126.951132,278,118.19494913125.618002,339,119.868639
127.466062,283,121.203628
127.57166,308,125.80117
127.318443,331,127.423295
127.415927,254,128.646635
100.078765,263,129.940006
125.506357,286,134.782068
128.268169,247,135.956226
126.791991,259,137.163806
127.59619,227,138.274561
127.427269,279,142.837994
127.14686,222,144.03845
126.742323,239,145.37063
17.27243.838734,500,147.0126.902245.887414,385,152.739808
245.46433,380,154.647333
57.112228,133,155.327024
2208.209826,398,160.315441
2246.748927,321,161.92089122244.744151,473,164.50584422141.992699,263,169.43103214246.851867,389,171.34138822224.868762,338,172.96556230245.026517,413,177.8459229.244.805042,357,179.7554230244.034542,338,181.59332227157.574202,273,186.518228.243.111364,378,188.5094229.243.98286,406,193.45728228.026751,388,194.410636
227.891847,259,195.699346
227.945012,338,197.488796
226.369782,318,202.376058
61.414879,152,203.176019
82.610606,151,203.937886
230.145563,331,205.629566
65.170195,137,206.306972
227.976804,297,210.78408
229.758681,323,212.334933
227.871616,254,213.564402
226.587917,298,218.684994
190.46125,269,220.147559
195.353464,305,221.813745
230.779669,291,223.383615
145.260552,227,227.58058
229.650097,307,229.110485
146.611795,237,230.308598
191.887608,282,231.685088
229.69508,320,236.798845
229.245278,312,238.445291
228.489352,296,239.997979
230.250022,302,244.813935
229.344183,289,246.232945
229.605996,346,247.899354
228.320553,283,249.313695
229.254653,302,254.436505
228.324409,256,255.893483
85.513206,168,256.837545
229.381651,272,258.354366
227.828096,270,262.833705
228.505262,279,264.233515
226.380732,297,265.729621
227.105637,295,270.219259
228.229462,270,271.605477
58.349608,125,272.268744
229.08174,287,273.750013
227.792212,271,275.179496
227.553957,317,279.941696
228.867414,259,281.227817
228.558731,274,282.58977
144.028112,231,286.693629
229.263405,274,288.239703
42.646981,103,288.833421
227.698539,254,290.265434
229.374677,295,291.961134
108.618279,173,296.646513
127.33076,181,297.583822
2.496927,36,297.796304
139.748829,176,298.730846
1.126182,34,298.908528
4.062555,39,299.144759
2.510493,34,29145.04693387.583023,145,300.153829
26.81887,77,300.144.011901,221,301.00708
59.214234.076406,249,305.208603
84.402015,146,305.997218
150.28113,213,307.125754
143.26254,195,308.176534
232.417942,253,309.473299
112.45402,175,313.998283
143.903369,197,315.027005
70.407826,125,315.667219
8.735862,52,315.918774
118.232434,206,316.974751
135.031098,194,317.967219
27.787448,67,318.29159.99231.669952,253,322.761351
215.233042,231,324.009055
150.200192,194,325.15172
131.311621,193,326.298747
152.243796,206,327.474654
144.807182,179,332.01256.42143.853384,196,333.11143.51128.189413,175,334.07173.38144.057695,206,335.14255.93230.161526,239,336.3142.728141.963395,184,340.298695
230.422888,235,341.50592
231.507183,228,342.706213
231.766253,255,344.069199
7,270,343.869916
257.666973,243,345.174384
44.297947
43312213.132833,231,327.25050221127.536519,173,331.755388211.768746,227,333.005855
124.158905,170,333.944269
139.280959,186,334.919164
2214.233404,233,336.113597
2212.987567,228,340.263945
1212.668523,206,341.332602
2130.751143,168,342.186818
2211.436505,216,343.37193
44.724814,90,343.808156
212.658274,228,345.041825
128.743496,160,344.809468
9107,213,326.145394
166.744139,213,327.387554
58.969934,103,331.485586
167.653141,195,332.588701
168.37306,173,333.58135
48.562162,97,334.079373
167.677848,195,335.087653
51.873264,114,335.692482
168.016626,208,336.742263
135.544678,167,340.580212
168.879259,190,341.582155
166.542297,187,342.561961
167.763841,203,343.621367
34.641488,78,344.04194
25.884995,68,344.41767
129.864984,143,333.816287
129.210423,172,334.713019
127.76537,152,335.510697
129.688959,176,336.414524
128.959661,155,340.176543
130.414484,145,340.956079
94.403705,141,341.675791
128.933147,141,342.41068
130.242434,170,343.309047
128.522653,163,344.183265
129.725983,1157.320279,167,345.055089
17139.796231,153,342.2792.53199.103095,139,343.02126.79139.400913,161,343.881445
138.519908,146,344.126.029976,149,344.701046
101656,131,343.100796
129.117614,149,343.896463
128.385927,149,344.683423
,166,331.588128
74.906071,123,332.280153
126.469277,154,333.15565
125.689294,150,333.960671
124.230206,165,334.832017
125.95088,156,335.64644
125.412827,143,336.362883
125.422102,158,340.144707
125.856525,136,340.87804
125.112631,143,341.62459
126.273076,140,342.317637
125.455481,141,343.082962
126.350464,155,343.907674
125.994035,139,344.633944
